method,dataset,d,param1,param2,m,nprobe,sq_bits,nbits,recall,qps,build_time
IVFPQ,SIFT,128,m=8,nprobe=1,8,1,,,0.2052,81577.82624483024,65.1466104509891
IVFPQ,SIFT,128,m=8,nprobe=4,8,4,,,0.3257,76792.600162216,65.1466104509891
IVFPQ,SIFT,128,m=8,nprobe=8,8,8,,,0.366,70921.24142774248,65.1466104509891
IVFPQ,SIFT,128,m=8,nprobe=16,8,16,,,0.3898,60170.111811804054,65.1466104509891
IVFPQ,SIFT,128,m=8,nprobe=32,8,32,,,0.3995,47718.973437183944,65.1466104509891
IVFPQ,SIFT,128,m=8,nprobe=64,8,64,,,0.4027,33535.7427663545,65.1466104509891
IVFPQ,SIFT,128,m=16,nprobe=1,16,1,,,0.2428,83703.757440099,63.832011730002705
IVFPQ,SIFT,128,m=16,nprobe=4,16,4,,,0.4348,76455.4753832055,63.832011730002705
IVFPQ,SIFT,128,m=16,nprobe=8,16,8,,,0.5054,68312.69757500722,63.832011730002705
IVFPQ,SIFT,128,m=16,nprobe=16,16,16,,,0.5545,56094.838927618766,63.832011730002705
IVFPQ,SIFT,128,m=16,nprobe=32,16,32,,,0.5775,38240.574080238686,63.832011730002705
IVFPQ,SIFT,128,m=16,nprobe=64,16,64,,,0.5855,23278.602065020677,63.832011730002705
IVFPQ,SIFT,128,m=32,nprobe=1,32,1,,,0.2599,81051.26070817733,71.63689253904158
IVFPQ,SIFT,128,m=32,nprobe=4,32,4,,,0.4973,69385.6497469333,71.63689253904158
IVFPQ,SIFT,128,m=32,nprobe=8,32,8,,,0.6011,57542.94504556662,71.63689253904158
IVFPQ,SIFT,128,m=32,nprobe=16,32,16,,,0.6719,39277.7220569436,71.63689253904158
IVFPQ,SIFT,128,m=32,nprobe=32,32,32,,,0.7102,24747.63598207829,71.63689253904158
IVFPQ,SIFT,128,m=32,nprobe=64,32,64,,,0.7276,13782.406212795342,71.63689253904158
IVFPQ,GIST,960,m=8,nprobe=1,8,1,,,0.0812,17548.14202059718,266.9530669480446
IVFPQ,GIST,960,m=8,nprobe=4,8,4,,,0.1071,16963.173329855836,266.9530669480446
IVFPQ,GIST,960,m=8,nprobe=8,8,8,,,0.1135,16679.9589384829,266.9530669480446
IVFPQ,GIST,960,m=8,nprobe=16,8,16,,,0.1157,15899.332037044196,266.9530669480446
IVFPQ,GIST,960,m=8,nprobe=32,8,32,,,0.1169,13795.217064181978,266.9530669480446
IVFPQ,GIST,960,m=8,nprobe=64,8,64,,,0.1168,11945.154588480898,266.9530669480446
IVFPQ,GIST,960,m=16,nprobe=1,16,1,,,0.1086,17124.27906497834,269.97284943802515
IVFPQ,GIST,960,m=16,nprobe=4,16,4,,,0.1544,16259.205277838033,269.97284943802515
IVFPQ,GIST,960,m=16,nprobe=8,16,8,,,0.171,16670.13905719731,269.97284943802515
IVFPQ,GIST,960,m=16,nprobe=16,16,16,,,0.18,14186.131483542387,269.97284943802515
IVFPQ,GIST,960,m=16,nprobe=32,16,32,,,0.1846,12097.25516302424,269.97284943802515
IVFPQ,GIST,960,m=16,nprobe=64,16,64,,,0.1859,9366.068430804095,269.97284943802515
IVFPQ,GIST,960,m=32,nprobe=1,32,1,,,0.129,16217.690183664843,295.03282581601525
IVFPQ,GIST,960,m=32,nprobe=4,32,4,,,0.2129,15497.775137615157,295.03282581601525
IVFPQ,GIST,960,m=32,nprobe=8,32,8,,,0.243,15452.979125939763,295.03282581601525
IVFPQ,GIST,960,m=32,nprobe=16,32,16,,,0.2621,12537.523556821458,295.03282581601525
IVFPQ,GIST,960,m=32,nprobe=32,32,32,,,0.2726,9917.470382113639,295.03282581601525
IVFPQ,GIST,960,m=32,nprobe=64,32,64,,,0.2778,7186.499470476658,295.03282581601525
IVFPQ,GloVe,100,m=10,nprobe=1,10,1,,,0.1895,95902.18554595018,100.83197737101
IVFPQ,GloVe,100,m=10,nprobe=4,10,4,,,0.2492,92959.93110220622,100.83197737101
IVFPQ,GloVe,100,m=10,nprobe=8,10,8,,,0.2634,83162.42075548455,100.83197737101
IVFPQ,GloVe,100,m=10,nprobe=16,10,16,,,0.2714,68603.68250120932,100.83197737101
IVFPQ,GloVe,100,m=10,nprobe=32,10,32,,,0.2752,44125.44497209341,100.83197737101
IVFPQ,GloVe,100,m=10,nprobe=64,10,64,,,0.2779,28364.926252644473,100.83197737101
IVFPQ,GloVe,100,m=20,nprobe=1,20,1,,,0.2588,91509.67750705415,105.94189545599511
IVFPQ,GloVe,100,m=20,nprobe=4,20,4,,,0.3792,81585.85912349413,105.94189545599511
IVFPQ,GloVe,100,m=20,nprobe=8,20,8,,,0.4206,73510.88820074339,105.94189545599511
IVFPQ,GloVe,100,m=20,nprobe=16,20,16,,,0.4473,52827.58880641289,105.94189545599511
IVFPQ,GloVe,100,m=20,nprobe=32,20,32,,,0.4667,34722.85154636052,105.94189545599511
IVFPQ,GloVe,100,m=20,nprobe=64,20,64,,,0.4783,24965.452787507613,105.94189545599511
IVFPQ,GloVe,100,m=25,nprobe=1,25,1,,,0.2811,99724.9485103632,106.05583553604083
IVFPQ,GloVe,100,m=25,nprobe=4,25,4,,,0.4321,90968.1956669411,106.05583553604083
IVFPQ,GloVe,100,m=25,nprobe=8,25,8,,,0.4797,80212.29950029038,106.05583553604083
IVFPQ,GloVe,100,m=25,nprobe=16,25,16,,,0.5179,57509.65036855648,106.05583553604083
IVFPQ,GloVe,100,m=25,nprobe=32,25,32,,,0.544,34099.54675501965,106.05583553604083
IVFPQ,GloVe,100,m=25,nprobe=64,25,64,,,0.5615,21613.287063386906,106.05583553604083
